STATION,NAME,DATE,AWND,DAPR,MDPR,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/2/2015,17.22,,,,0.32,,0,0,49,57,28,,330,300,,,30,40,1,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/3/2015,4.25,,,,0,,0,0,34,51,25,,340,350,,,15,21,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/4/2015,2.01,,,,0,,0,0,42,50,35,,160,160,,,8.9,12.1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/5/2015,13.42,,,,0,,0,0,46,51,31,,330,340,,,23.9,31.1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/6/2015,3.8,,,,0,,0,0,38,53,26,,230,230,,,8.9,13,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/7/2015,5.82,,,,0,,0,0,47,64,33,,220,240,,,15,21.9,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/8/2015,6.49,,,,0,,0,0,53,68,40,,220,220,,,17,23.9,1,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/9/2015,10.51,,,,0.34,,0,0,58,64,44,,330,330,,,25.1,31.1,1,,1,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/10/2015,13.42,,,,0,,0,0,46,54,38,,320,320,,,28,35.1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/11/2015,6.26,,,,0,,0,0,45,64,32,,310,310,,,13,17,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/12/2015,17,,,,0,,0,0,46,50,28,,330,320,,,32,40,,,,,,,,
